এইতো আমি রাস্তায়!	দুঃখিত।
বিরক্তিকর মুখ দেখতে হয় বলে।	সেহ-হি।
দুঃখিত, আমি ইদানীং ক্লান্ত হয়ে পড়ছি।	তুমি ক্লান্ত হয়ে পড়ছ প্রতিদিন একই শরীর দেখে দেখে।
এইভাবে বোলো না।	এটা সেই জন্য না।
তোমার গাড়িতে ধাক্কা দিয়েছে যে, ওই মেয়েটাকে তোমার মনে আছে?	না।
মিথ্যুক।	সত্যি করে বলো।
কী?	খালি গায়ে ওকে দারুণ দেখাবে।
বড় বড় মাই।	কী করছ তুমি?
তুমি ওর মাইয়ের চিন্তা করছ?	সমস্যা নেই।
ওরগুলোই ভাবো।	ভাবো,
এটা ওর হাত।	তুমি কেমন অদ্ভুৎ হয়ে গেছ।
ভাবো আমি সেই মেয়ে।	সমস্যা নেই।
তুমি ওকে কল্পনা করেছিলে, তাই না?	কি যত্তসব বলছ তুমি?
সত্যি বলো।	ওকে কল্পনা করেছিলে?
তুমিই তো বলেছিলে ওকে কল্পনা করতে।	এই, ব্যাথা লেগেছে।
আমি তো আগে এর চেয়েও জোরে কামড় দিয়েছি।	- কিন্তু এখন ব্যাথা করছে বুঝি?
 আসলেই ব্যাথা পেয়েছি, এটা কেন করলে?	আমি দুঃখিত প্রতিদিন
একই বিরক্তিকর মুখ দেখতে হয় বলে।	চুপ করো! এই রকম
কথা বলতে নিষেধ করছি না!	কেন এমন অবুঝের মতো
আচরণ শুরু করেছ?	দেখি।
আমার দিকে তাকাও!	ভয়ের অভিনয় বন্ধ করো!
তুমিই আমাকে বলেছ ওকে চিন্তা করতে!	আমার থেকে কী চাও?
কী শুরু করেছ এসব?	তুমি চাও সেক্স করার সময় আমি অন্য মেয়েকে কল্পনা করি।
এটা কোন ধরনের কথা?	এটাই কি তোমার ভালোবাসার ধরণ?
আপনার ডায়ালকৃত নম্বরে সংযোগ প্রদান করা সম্ভব হচ্ছে না।	আপনার ডায়ালকৃত নম্বরে সংযোগ প্রদান করা সম্ভব হচ্ছে না।
শুনুন। 	১০০৫ নম্বর রুমের কী হয়েছে?
ওখানে কাউকে দেখা যাচ্ছে না।	১০০৫ এর? সেহ-হি?
সে গতকাল হঠাৎ করেই চলে গিয়েছে। 	কোথায় গিয়েছে বলতে পারবেন কী?
সেটাতো জানি না। 	আচ্ছা।
হাই, ইয়ুনা।	 ওহ, হাই, জি-উ।
এখানে কী কাজে? 	সেহ-হি কোথায় উঠেছে বলতে পারবে কী? কী?
ও বাসা বদলিয়েছে?	 কোথায় গিয়েছে?
আমাকে এক কাপ কফি দিন, গত দিনের ঘটনার জন্য দুঃখিত। 	আপনার ডায়ালকৃত নম্বরে সংযোগ প্রদান করা সম্ভব হচ্ছে না।
আমি এতটা পারবো কিনা নিশ্চিত নই। আমি লাবাণ্যময়ী হতে চাই না।	 শুধু একটু ভিন্নতা,একটা নতুন মুখ চাই। আপনি কি আপনার চেহারা নিয়ে অসন্তুষ্ট? 
প্লিজ। আপনি কি এখনো আপনার সিদ্ধান্তের উপর অনড়? 	এই মহিলা আর এই মহিলা একই। আপনার বিশ্বাস হয়?
 আপনি কিন্তু চাইলেও আর আপনার আগের চেহারা ফিরে পাবেন না।	আপনার কি কারো মতো হওয়ার ইচ্ছে আছে? 
চোখের পাতা একটু গভীর হতে হবে। 	নাকের ডগাটা একটু উপরে উঠবে।
 আর ঠোঁট একটু ছোট হবে।	 অসম্ভব কিছু না।
 একটু দেখি।	 আমি আপনার চোয়াল আর চিবুকটা একটু তুলতুলে করে দেবো।
 আপনার মুখ ছোট হবে।	 সম্পূর্ণ সুস্থ হয়ে উঠতে ছয় মাস সময় লাগবে।
আর সম্পূর্ণ প্রক্রিয়াটা অনেক কষ্টকর হবে।	 আপনি সহ্য করতে পারবেন? 
নিজেকে ভিন্ন রুপে দেখতে চাইলে অবশ্যই করতে হবে। 	সামনের দিকে তাকান প্লিজ।
 আমি ছবি তুলছি এখন।	 এবার এই দিকে তাকান। 	
আমি আপনাকে শেষ সুযোগ দিচ্ছি, আরেকবার ভেবে দেখুন। হ্যালো? এই, ত্যে-সুক। এখন?
 এইভাবে চলে যাওয়ার পরেও তুই ওর জন্য অপেক্ষা করে বসে আছিস? ওর কথা ছাড়। 	কিন্তু ও এটা কীভাবে করতে পারলো? 
তোদের সম্পর্ক তো দুই বছর হয়ে গেছে দুই বছর যথেষ্ট। 	 আমি ছয় মাসও তো পারিনি।
উপভোগ করুন!	 একই শরীরে তোর বিরক্ত আসে না?
 বেশ, দুই বছর যখন হয়ে গেছে, তুই এখন অন্য কাউকে দেখতে পারিস... 	তবে তার মানে এই নয় যে, ওর প্রতি ভালোবাসা নেই  এর মানে হচ্ছে, এখানে আর কোনো রোমাঞ্চ ও অনুভূতি কাজ করছে না।
এই তুই নাক আর মুখের সার্জারী করিয়েছিস?	 - না। আরে মিথ্যা বলছিস কেন, তোর চোখ, নাক আর চোয়াল সার্জারী করিয়েছিস। 
বলছি না করাইনি। -	করিয়েছিস। 
তোর মাইগুলো একটু দেখি।	এই কী করছ তুমি?
এই, এই, এই।	 এটা তোর দেখার বিষয় নয়।
 এই, তুই আমার মালকে ধরছিস কেন? 	তুই সবসময় এসব জায়গায় আবালের মতো আচরণ করিস।
 এই, আমি ওকে পছন্দ করি।	 এই সেটা আমাকে আগে বলতে পারতি।
 তাহলে আমি সিট পাল্টে বসি! 	তুই যদি আরেকবার ওর গায়ে হাত দিস,তোর খেল খতম করে দিবো। 
কিন্তু আমি তো তোমাকে ধরতে পারি, নাকি? 	আরেকটু হয়ে যাক?
 তুই শালা খালি ভেঁ ভেঁ করছিস! 	বন্ধ কর! - ওর গানের গলা ভয়ংকর। 
এটা কি গান? 	আমি জানি না।
 এসব কী বাল চাল যত্তসব? 	এই মাগী, মুখ সামলে কথা বল। জানু। দেখছিস কী?
 ক্ষমা চা। 	তুই শালা আমার মালের গায়ে হাত তুলেছিস কেন?
জাহান্নামে যা শালা। 	- যথেষ্ঠ হয়েছে। - আমার কথা বুঝতে পেরেছিস, তাই না? 
চিয়ার্স। 	সোনা, তুমি কি মার্কেসের "মেমোরিজ অব মাই মেলানকলি হোরস" বইটা পড়েছ?
মার, কে?	 এসব আকাইম্মা খবর কে রাখে। কে এই মেয়েগুলোকে লাগাতে চায়? 
বোকার মতো প্রশ্ন করিস না।	 - কোপ! 
আমি পারবো না। 	আমি যাচ্ছি।
আমরা তোর জন্যই এখানে এসেছি।	তুই যেতে পারবি না, শালা! 	
আমি তোমার সাথে কথা বলতে চাই।	 কথা বলবে?
 চলো। 	ঊনিশ বিশ ভাবতে পারবি না।
 আমরা শুধু কথা বলতে যাচ্ছি। কী?	 শারিরীক কথা বার্তা? 
আমি সেহ-হিকে ভালোবাসি।	তুই শালা পাগল।
আমরা শুধু কথা বলব, ঠিক আছে?	আমি তোমার বয়স জিজ্ঞেস করতে ভুলে গেছি।
 তোমার বয়স কত?	সোনা, উঠো। 
তুমি কি শুধু ঘুমাবে নাকি?	উঠো।আসো, জানু।
এটাই কি তোমার কথা বলা?	দেখি, হাত উপরে তোলো।
আমি পারব না।	কেন পারবে না?
 আমার গার্লফ্রেন্ডের সাথে আমার ব্রেক আপ হয়েছে।	পারবে তুমি।
 ওর সাথে বেইমানি করা হবে। 	কিন্তু আমরা সবাই তো মানুষ, নাকি?
কী হয়েছে?	কে মেরেছে এটা?
কীসের শব্দ হলো?	ধুর শালা।
ছাই-পাস গিলে এসে এসব কী শুরু করেছিসশালা মাতাল কোথাকার!	জেলে যাওয়ার শখ জেগেছে নাকি?
তোদের শুধু এখানে লাগানোর অনুমতি দিয়েছি, জানালা ভাঙার নয়।	 হ্যালো?
জি-উ,আমি ইয়ুন-হি বলছি।	এই ইয়ুন-হি,অনেক দিন পর।
কেমন আছো তুমি?	আমি একটা প্রদর্শনী করছি,অভিনন্দন।
তুমি কি আসতে পারবে?	আচ্ছা,আমি চেষ্টা করে দেখব।
 জি-উ! 	তুমি এসেছ।
অভিনন্দন।	এই চিত্রশিল্পগুলো অসাধারণ।
নিশ্চয়ই তোমার, ইয়ুন-হি।	এই ছবিগুলো কোত্থেকে তুলেছ?
আমার একদিন ওখানে যাওয়ার খুব ইচ্ছে।	দুইজন একসাথে যাওয়া যায়?
তোমার আর ছুল-সুর ব্রেক আপ হয়ে গিয়েছে?	একদিন হঠাৎ করেউধাও হয়ে গিয়েছে।
তো ওকে খুঁজোনি কেন?	এমন কাউকে কেন খুঁজতে যাবো,যে আমার উপর বিরক্ত হয়ে ছেড়ে চলে গিয়েছে?
তুমি কাউকে খুঁজছ, তাই না?	সেও হঠাৎ উধাও হয়ে গিয়েছে।
সত্যি?	ও নিশ্চয়ই ছুল-সুর সাথে আছে।
তার মানে আমরাও একসাথে থাকতে পারি।	কিছু মনে কোরো না। 
তুমি কি নিশ্চিত?	তুমি আমাকে পছন্দ করো, তাই না?
কিন্তু ছুল-সুর জন্য কোনো দিন বলোনি।	গাধা।
আমিও আবদ্ধ ছিলাম,কিন্তু এখন তোমার জন্য মুক্ত।	তুমি এখনো খুব সুন্দর।
 আমরা কি যেতে পারি?	আমি ওয়াশরুম থেকে আসার পর।
আমার বাসায় যাওয়া যায়?	না।
তাহলে, কোনো হোটেলে? 	পরেরবার ভেবে দেখবো।
 কী বলছ এসব?	 তুমি এই মাত্র বললে আমার সাথে যাবে।
 আমার মনে হয় এমনটা করা উচিত হবে না। 	তুমি আমার সাথে ফাজলামো করছো নাকি?
আমাকে বোকা বানানোর জন্য ডেকেছ?	 আমার থেকে কী চাও?
 ওয়াশরুমে যাওয়ার আগে তো তুমি এমনটা ছিলে না।	 আমার উপর এমন বিরক্ত হয়ে পড়লে কেন?
 বিরক্ত হতে যাবো কেন? 	ধুর বাল, আমার আসাই উচিত হয়নি।
 বাই।	 আমার মনে হয় এটাই আমাদের শেষ দেখা।
এই, ইয়ুন-হি। 	শুধু আজকে রাতটা আমার সাথে থাকো, ঠিক আছে? 
তুমি অনেক বদলে গেছ, তোমার এখন আত্মসম্মানবোধ বলতে কিছু নেই। 	আচ্ছা, আচ্ছা। 
আমার গাড়ি করে তোমাকে পৌঁছে দিচ্ছি। 	চলো আরেকটু কথা বলি।
কী করছ তুমি?তোমার কথা রাখো।	 কীসের কথা? 
এমনটা কোরো না। 	আমি একদম একা।
 আমরা সবাই মানুষ।	 আমি দুঃখিত।
 কতটা সুখে আছো সেটা তোমার বোঝা উচিত। 	নিজের সম্মান ধরে রাখার চেষ্টা করো।
কোথায় যাবেন?	 আপনাকে পৌঁছে দিতে পারি।
 আমি কি আপনার কিছু ছবি তুলতে পারি?	 এটা সবচেয়ে সু-সজ্জিত আর বিখ্যাত 'চরণ-স্নানাগার'।
 তোমার হাঁটুটা খুব সুন্দর।	 বিশেষকরে এই রমণীর।
ওর সাথে আমার একদম মিলে যায়।	 হ্যো-নিম? 
হাই। 	দেখা হয়ে ভালো লাগলো। 
হাই। 	এউন-হ্যে? 
হ্যাঁ ওটা আমি হাই।	 হিউং-জুং? 
হাই।	 সবাই খুশি?
মিনিট পর একে অপরের হবে। 	তালি হবে।
 জায়গাটা তোমার কেমন লাগে? 	ভালো, তাই না?
 আমি খুব খুশি এই প্রথম বারের মতো আমি যাকে চেয়েছি তাকে পেয়েছি। 	তোমাকে দেখার সাথে সাথেই আমার পছন্দ হয়েছে।
 ওহ, হ্যাঁ।	 আমার ব্যাপারে তোমার কী ধারণা?
 এখনো নিশ্চিত হতে পারিনি। 	তোমাকে খুব সুন্দর দেখাচ্ছে।
 এটা তো অপছন্দনীয় একজনের ব্যাপারে ব্যস সৌজন্যতা ছাড়া আর কিছু নয়। না।	 আমি সত্যি বলছি।
 তোমার ঐ লম্বা চুলওয়ালী মেয়েটাকে পছন্দ, তাই না? 	এউন-হ্যে। 
লম্বা চুলওয়ালী?	 কে ওটা?
 আমার মনে পড়ছে না তো।	 তোমার শখ কী?
  ছবি তোলা। 	একদিন আমার একটা ছবি তুলে দিও।
 হ্যাঁ, অবশ্যই। 	চলো সত্যিকার বুলেট দিয়ে শুটিং করা যাক? 
শুটিংয়ের সময় তোমাকে দারুণ লাগছিলো।	 মানসিক চাপ উপশমের জন্য শুটিং দারুণ কার্যকরী।
 দারুণ সময় কাটলো আজ।		যদি আমরা একপর্যায়ে ঘুরে দাঁড়াই... আর চোখে চোখে পড়ে, তার মানে আমাদের আবার দেখা হবে। 
শুরু, এক, দুই, তিন।	 এই। কোথায় তুই? 
এখনো ওর সাথে আছিস? 	মাত্র বাসায় আসলাম। 
ধুর বাল, আমারটা শুধু তোর কথা বলছে। 	আমি বিরক্ত হয়ে তোর নাম্বার দিয়ে চলে এসেছি।
হয়ত তোকে কল দিবে।	 আমাকে না জিজ্ঞেস করে কেন দিয়েছিস?
আবাল কোথাকার।	 হ্যালো? এখন কয়টা বাজে তোর খবর আছে?
সত্যিই আমার নাম্বার দিয়েছিস?	 এখনো তো কল করেনি। 
তুই শালা পাগল নাকি।	 আমি এখন ঘুমাচ্ছি।
হ্যালো? 	এই! স্বাগতম।
এই নিন আপনার কফি। 	উপভোগ করুন।
"আমি তোমায় ভালোবাসি" আপনার আরো কফি লাগবে?	 হ্যাঁ। স্বাগতম!
আরে গরম! 	আমি দুঃখিত।
দুঃখিত। 	আচ্ছা ঠিক আছে।
আমি দুঃখিত। দুঃখিত।	 তোমার আরো সাবধান হওয়া উচিত ছিলো।
হ্যালো। হ্যালো।	 দ্বীপে যাচ্ছেন নাকি? হ্যাঁ।
আপনিও একটু নিবেন নাকি?	 ছুঁড়ে মারার জন্য, খাওয়ার জন্য নয়।
ওহ হ্যাঁ।	 এইভাবে। 
এগুলো শঙ্খচিল, তাই না? 	হ্যাঁ। ঈগল ভেবেছিলেন নাকি? 
আমি... নিন মারুন।	 আপনি কদ্দুর যাবেন?
ভাস্কর্য পার্ক পর্যন্ত।	 সত্যি? 
আমিও তো সেখানেই যাবো। 	এটা কেমন? 
খুব সুন্দর।	 হ্যাঁ, তাই না?
ঠিক যেন উল্কাপিণ্ড। 	এটাও দারুণ, তাই না?
হ্যাঁ। 	এটার মতো উঠুন।
আরে না না। 	আরে উঠুন না।
ঐ খোলসের ভেতরে গিয়েছিলেন কখনো?	আপনি গিয়েছেন? 
হ্যাঁ।	 কী করেছেন সেখানে? 
চলুন একসাথে একটা ছবি তুলি। 	একটু শুনবেন! 
আমাদের একটা ছবি তুলে দিতে পারবেন?	 এই নিন।
 একটু বামে যান।	 আরেকটু নিচে। 
তৈরি হন।	 এক, দুই, তিন।
 খুব সুন্দর হয়েছে, তাই না? 	আপনার গার্লফ্রেন্ড আছে? 
ও ছয় মাস আগে কিছু না বলেই হঠাৎ উধাও হয়ে গেছে। 	কিছু না বলেই?
হ্যাঁ। 	আপনি কি ওর জন্য অপেক্ষা করছেন?
মাঝে মাঝে মনে হয় করছি, আবার মাঝে মাঝে মনে হয় করছি না।	 সময় যেহেতু পেরিয়ে গেছে, আমি তবে আর কিছু জানি না।
 আমার হাতের সাথে খাপে খাপ মিলে গেছে। 	খুব ভালো দিন কাটালাম আজ।
আমিও।	বাই। - বাই। বাই।
 স্বাগতম। কী ওটা? 	চিঠি নাকি?
ওরকম কিছু একটা হতে পারে	কিন্তু এখনো নিশ্চিত না। 
মনে হচ্ছে এখানে বারবার 'তোমাকে ভালোবাসি' লেখা হয়েছে।	 আপনার কি তাই মনে হয়?
 আপনার জন্য কী আনতে পারি এখন?	কফি, প্লিজ।
 আচ্ছা। 	দুঃখিত। আমি চিঠিটা দেখতে পাইনি। 
এটা বারবার 'তোমাকে ভালোবাসি' লেখা, তাই না?	 এখনো আপনার নামটাই  জানা হয়নি।
সে-হি। - সেহ-হি?	সে আরে এটা কি করছেন? 
দুঃখিত। আমি ভুলে গেছি ওটা একটা চিঠি।	আমি কী করতে পারি?
আপনি আবার হাসছেন? দুঃখিত, আপনি কি রাগ করেছেন?	 আচ্ছা আমি মুছে দিচ্ছি... না!
আপনি কি একটু বেশি বাড়াবাড়ি করছেন না? 	আমি দুঃখিত বলেছি।
এটা আমার গার্লফ্রেন্ডের দেয়া চিঠি যে কিনা ছয়মাস আগে কিছু নাবলেই উধাও হয়ে গিয়েছিলো। 	তো আপনি এটাতে কীভাবে লিখতে পারেন? 
যদি আপনি তাকে ভুলতে না পারেন। 	তাহলে গাড়ির মধ্যে আমাকে চুমু খেয়েছিলেন কেন? 
বলুন। আমাকে চুমু খেয়েছিলেন কেন? 	গতদিনের জন্য আমি দুঃখিত।
সে-হি, যাও ওখানটা পরিষ্কার করে আসো।	অদ্ভুত একটা মেয়ে। 
আমার ব্যবসার বারোটা বাজালো। 	যা হয়েছে তার জন্য আমি দুঃখিত।
আরে না, আমিই এর জন্য দুঃখিত।	 আপনি কি আমাকে সে-হির নাম্বার দিতে পারবেন? 
আমার মাথা ঠিক ছিল না।	কী করব কিছুই বুঝতে পারছিলাম না।
আমাকে কল দিও।	 আমি অপেক্ষায় থাকবো। 
কল দিতে ভুলো না যেন। 	সে-হি, তোমাকে কল করার অনুরোধ করছি, আমার কিচ্ছু ভালো লাগছে না, তোমার কথা অনেক মনে পড়ছে ভেতরে আসো।
আগে আমি ডিনার তৈরী করে নিই। 	বিরক্তবোধ করলে মুভি দেখতে পারো।
 আচ্ছা। 	খুব সুস্বাদু দেখাচ্ছে। 
ব্যস আরেকটু অপেক্ষা করো। 	কেমন হয়েছে? দারুণ।
 আচ্ছা যাক। 	একটা ব্যাচেলরের ঘর এতো পরিষ্কার কীভাবে? 
তোমার ঘর কি নোংরা নাকি? 	হ্যাঁ। পরিষ্কার পরিচ্ছন্ন করার জন্য আমার হাতে অত সময় নেই।
তাহলে আমি গিয়ে তোমার ঘর পরিষ্কার করে দিয়ে আসবো। 	সত্যি করে দিবে?
 অবশ্যই। খাবারটা দারুণ হয়েছে।	 আমার এখন যেতে হবে।
 ডিনারের জন্য ধন্যবাদ।	 রাতটা থেকে যাও।
 পরেরবার। 	প্লিজ থেকে যাও, সেহ-হি।
 সেহ-হি? সে-হি।	শুভ রাত্রি।
 সে-হি!আমি তোমার ঘরে গিয়ে পরিষ্কার করে দিয়ে আসবো।	পা'টা তোলো।
 তোমার কি ছোটকালের কোনো ছবি নেই?	 তোমার ছোটকালের একটা ছবি দেখাও।
না, নেই। একটাও নেই? 	না, একটাও না।
আজব তো। 	ওটা দেখাও আমাকে। 
আমি নিশ্চিত পুরাতন কোনো ছবি। 	না।আমাকে দেখাও। 
না।আমাকে দেখাতে পারবে না? 	আমি এটা দেখতে চাই।
 কেমন ছিলো? 	আমার জন্য একদম নতুন অভিজ্ঞতা।
 একদম প্রথমবারের মতোঅনুভব করলাম।	ধন্যবাদ।কীসের জন্য? 
সবকিছুর জন্য।	এখন গত হওয়াসবটুকু সময়ের জন্য।
তুমি আমাকে ভালোবাসো?	এখনো জানি না।
তবে আমার অনেক ভালো লেগেছে।	তুমি শুধু হাসছো কেন?
কারণ, আমি অনেক খুশি।	তুমি একজন সৎ আর অনেক ভালো মানুষ।
ধন্যবাদ।আচ্ছা...বলো তো।	তুমি কি সেহ-হিকে অনেক বেশি ভালোবাসতে?হ্যাঁ।
এখনো বাসো?	কী হলো?
সেহ-হি যদি তোমার জীবনে আবার ফিরে আসে?	ও কখনো ফিরে আসবে না। 
যদি ফিরে আসে তাহলে কী হবে?	 আমি এটাই দেখতে চেয়েছিলাম।
আমায় কি সুখী মনে হচ্ছে? 	আমি তো আশ্চর্যজনকভাবে দুঃখে ভরাক্রান্ত।
 আমার হৃদয় ফেটে যাচ্ছে। 	আরে, এটা কী হলো?
 তুমি কি আমাকে চড় মেরেছ? 	হ্যাঁ। কেন?
 আমি তোমাকে ভালোবাসি।	দুঃখিত, ঘুমাও আবার।
 আর মারবে না, আমি কিন্তু রেগে যাবো। 		"প্রিয় জি-উ," "আমি তোমাকে ভুলতে চেয়েছিলাম, কিন্তু পারিনি।
 তোমার কাছে ফিরে আসতে চাই," "ক্যাফেতে দেখা কোরো ২০ তারিখ দুপুর ২টায়। সেহ-হি।"	বলো।কী বলতে চাও?
আমাকে বেশি কৌতুহলী করে তুলবে না।	সেহ-হি ফিরে এসেছে।তো?
আমি দুঃখিত।দুঃখিত বলছ কেন?	 ওর সাথে দেখা করতে যাচ্ছ নাকি?
 ও চলে যাওয়ার পর আমি খুব একা হয়ে পড়েছিলাম। 	তার মানে তুমি আমাকে তোমার একাকিত্বের সঙ্গী বানিয়েছ? 
না, ব্যাপারটা আসলে তেমন নয়।	 তুমি কি এখনো ওকে ভালোবাসো? 
আমার তাই মনে হয়। 	যাইহোক, আমি তোমাকে ছাড়ছি না। 
আমি দুঃখিত। 	না। আমি ওর সাথে দেখা করে ওকে থামাবো। 
না এমনটা করবে না! 	তুমিও করতে পারবে না।
 আমাকে তোমার কী মনে হয়? 	আমাকে কি কোনো বেশ্যা মনে করো, যে তোমার সাথে রাত কাটিয়ে তোমার কামনা মিটাবে? 
মুখ সামলে কথা বলো! বলো! 	আমি তোমার কাছে কী?
- বেরিয়ে যাও! 	পাগলা ঘোড়ার মতো আমার উপর চড়ে সুখ নিয়েছিস সেটা কি ভুলে গেছিস?
 আমি কি মাগী? 	থামো!এটা একদম বিব্রতকর।বিব্রতকর?
এখন আমাকে নিয়ে লজ্জা হয়?	এই! এই!ধেত্তেরি।
কীসের লজ্জা তোর?	কে আমাকে এমন বানিয়েছে? 
তুমি কি এমন ছিলে?	হ্যাঁ!হ্যাঁ, আমি এমনই!
ওর কাছে যাওয়ার আগে আমাকে মেরে ফেল!	আমি আসলে তোমাকেচিনতে ভুল করেছিলাম।
তু...তুই একটা কুত্তার বাচ্চা!	তুই একটা কুত্তার বাচ্চা!
তুই একটা খানকির বাচ্চা!যা! যা!	আপনার ডায়ালকৃত নম্বরে সংযোগ প্রদান করা সম্ভব হচ্ছে না। 
তো তুমি কী চাও? 	আমরা একে অপরের যোগ্য নই।
 আমি ভাবতাম তুমি আমার জন্য পাগল ছিলে, ধুর বাল। 	তুমি সবসময় গালি দাও কেন?
 আমি এটা একদম পছন্দ করি না।	 আচ্ছা, দুঃখিত। সময় কেমন কাটালে? 
আমি তোমাকে অনেক মিস করেছি।	ওটা কী? দ্বীপের ওটা কি তুমি ছিলে? 
আমি যে কোনো ভাবে তোমাকে দেখতে চেয়েছিলাম। 	 তুমি এমনটা কীভাবে করতে পারলে? 
এটা কেমন পাগলামি? 	আমি সময়কে ভয়ে পেয়েছিলাম।
 সময় সবকিছুকে পরিবর্তন করে দিতে পারে।	 তার সাথে এর সম্পর্ক কী? 
আমার সাথে খেলে তুমি কি খুশি হয়েছ?	 আমি কি খেলনার পুতুল? 
বলো আমি কী?	 আমি বিশ্বাস করতাম আমার চেহারা পরিবর্তন করলে তুমি আমাকে অনেকদিন ভালোবাসবে। 
কিন্তু তুমি নিজের অতীতকে ভুলতে পারোনি। 	আর তা দেখে আমার খুব হিংসে হচ্ছিলো।
তোমাদের দুইজনের মধ্যে তো কোনো পার্থক্য নেই না। 	আমি তোমার সেই অতীত নই।
আমি সম্পূর্ণ নতুন।	 তুমি পাগল নাকি? তুমি কে?
কে তুমি? 	ধুর শালা।এটাকে কি নাটকের মঞ্চ মনে হচ্ছে নাকি রে?
মাস্কওয়ালীর কী সমস্যা? 	চিল্লাচিল্লি বন্ধ কর।
 কান্ডজ্ঞান বলতে কিছু শিখিসনি নাকি?	এটাকে তোর বাড়ি মনে হচ্ছে? 
এইসব কী?	মুখের সামনে এটা কী লাগিয়েছ? 
পাগল হয়ে গেলে নাকি?	আমি খুব নার্ভাস ছিলাম।
ভেবেছিলাম আমার উপর বিরক্ত হয়ে নতুন কাউকে খুঁজে নিবে।	তুমি ভেবেছ আমিমেয়েদের শরীরকে ভালোবাসি?
আমি তোমাকে ভালোবাসি। 	তুমি ভীতু। তুমি আসলেই ভীতু। 
এমনভাবে বোলো না। 	আমার মাস্কটা খুলে নাও আর আমার নতুন চেহারাটা দেখো। 
না। তুমি একটা পাগল! 	তোর কী সমস্যা? 
চল বাইরে চল। 	বেজন্মার বাচ্চা। 
মিন-সু। উঠ, শালা! 	মিন-সু, থামো।
ছেড়ে দাও। 	স্বাগতম। হ্যালো, সেহ-হি। 
হ্যালো। আপনার মুখ এখন স্বাভাবিক দেখাচ্ছে।	কোথাও কোনো সমস্যা? না। 
